,year,Month,household_minute_averaged_active_power,kitchen,laundry_room,water_air,not_measured_in_sub,sub_total
2,2007,1,25.7672319548,1.264236749,1.7759308213,7.3833505085,15.3437138761,10.4235180788
3,2007,2,23.3513922648,1.1802172727,1.6023612282,6.703556724,13.8652570399,9.486135225
4,2007,3,21.9771171696,1.3613432201,2.3468715697,6.5046484016,11.7642539782,10.2128631914
5,2007,4,14.853149091,1.0658864655,0.9731489222,4.8003394382,8.0137742652,6.8393748258
6,2007,5,16.4310304659,1.6966173835,1.6158602151,5.1399641577,7.9785887097,8.4524417563
7,2007,6,13.7802395903,1.3826725676,1.6205714021,4.3759065737,6.401089047,7.3791505434
8,2007,7,11.1227804115,0.9672650475,1.2521737177,3.4782852906,5.4250563556,5.6977240558
9,2007,8,12.7364367146,0.812474786,1.1141467569,5.0527141512,5.7571010205,6.9793356941
10,2007,9,16.1553027146,1.2232279272,1.7426038243,5.2404046484,7.9490663148,8.2062363998
11,2007,10,18.3985132249,0.9681885389,1.9694878803,5.7368161656,9.7240206401,8.6744925848
12,2007,11,21.5745497477,1.1765128015,1.705310431,6.9375897032,11.7551368119,9.8194129358
13,2007,12,27.1078989225,1.6597594032,1.8578149152,8.1189766796,15.4713479245,11.636550998
14,2008,1,24.3320048986,1.3835659401,1.409328166,6.9933242232,14.5457865693,9.7862183293
15,2008,2,19.6897414406,0.9625212539,1.3565629715,6.1287448811,11.2419123341,8.4478291065
16,2008,3,20.7556150451,1.4137861511,1.7759582428,6.2651493089,11.3007213423,9.4548937028
17,2008,4,18.5995339506,1.0898148148,1.6405324074,6.8443981481,9.0247885802,9.5747453704
18,2008,5,17.0713517631,1.1892109862,1.319660379,6.5105963529,8.051884045,9.0194677181
19,2008,6,16.568273957,1.5909627538,1.4687608509,6.7155026737,6.7930476786,9.7752262784
20,2008,7,13.2463439222,1.05992652,0.9950266589,5.0904610422,6.1009297012,7.1454142211
21,2008,8,4.6081365653,0.08676464,0.4987678659,1.7846901743,2.237913885,2.3702226802
22,2008,9,16.4613395062,1.2124074074,1.0321759259,6.5806018519,7.636154321,8.8251851852
23,2008,10,18.9461398749,0.9886987914,1.4177635267,6.1862232886,10.3534542682,8.5926856067
24,2008,11,23.1177637316,1.3444236068,1.2939501285,6.4970711491,13.9823188473,9.1354448844
25,2008,12,21.253155033,1.0120711705,0.8853463169,6.8959590747,12.4597784708,8.7933765622
26,2009,1,23.5033670109,1.672326889,1.6342660006,7.3838123614,12.8129617599,10.690405251
27,2009,2,20.792796933,1.1699622417,1.2590421304,7.3570647854,11.0067277756,9.7860691574
28,2009,3,20.4455792524,1.4482055648,1.0848828353,7.3636139612,10.5488768911,9.8967023612
29,2009,4,19.0114989892,1.2617713783,1.2176721144,7.1262558452,9.4057996512,9.6056993379
30,2009,5,16.8809294441,0.9761179317,1.1223899991,6.9685455686,7.8138759447,9.0670534994
31,2009,6,14.0126080963,0.7861135481,0.7469858378,6.5163303672,5.9631783432,8.0494297531
32,2009,7,10.3020148161,0.4083251187,0.952773546,4.2104131195,4.7305030319,5.5715117842
33,2009,8,11.0769785214,0.7776863471,0.8735513955,4.3901346316,5.0356061472,6.0413723742
34,2009,9,16.4473474238,1.1945736972,1.0682223303,6.8649906243,7.319560772,9.1277866519
35,2009,10,19.0747701935,1.2260131275,1.2036335939,7.3367458948,9.3083775772,9.7663926163
36,2009,11,21.2457240523,1.3992222042,1.2378295794,7.7670547929,10.8416174757,10.4041065765
37,2009,12,22.740343056,1.2948832833,1.1983063757,8.6004973341,11.6466560628,11.0936869931
38,2010,1,23.8420816369,1.2982003903,1.3627887928,9.5380038064,11.6430886474,12.1989929895
39,2010,2,22.9309100981,1.2219852175,1.3291829952,10.2116672454,10.1680746399,12.7628354581
40,2010,3,18.8345880365,0.8234341633,1.4284842654,7.6115739328,8.971095675,9.8634923615
41,2010,4,17.1215861478,0.884187134,0.8443713975,7.7800643533,7.612963263,9.5086228848
42,2010,5,18.2547398762,1.0776899124,1.1733237752,8.1683057416,7.835420447,10.4193194292
43,2010,6,16.1602481596,1.5219917589,1.1036390574,7.105282652,6.4293346914,9.7309134682
44,2010,7,12.0177990845,0.395774995,0.7697081028,4.3216021864,6.5307138003,5.4870852842
45,2010,8,9.8463026318,0.334072807,0.7212006201,4.2815256321,4.5095035726,5.3367990592
46,2010,9,15.9407071798,0.9710771014,0.8563074573,6.7924294708,7.3208931503,8.6198140294
47,2010,10,19.3899781208,1.0797508905,1.3490445574,7.0715965859,9.8895860869,9.5003920339
48,2010,11,19.9475744483,1.2388159837,1.1346912487,6.6315916593,10.9424755566,9.0050988917
